,Time,Dominant,X,Y,Amplitude,Phase,PhaseVelocity,Wavelength,Amp/Wave
0,10,False,1,0,1.74208294674,3.14241298476,-0.000441565658676,1.0,1.74208294674
1,20,False,1,0,1.73697621706,3.1371239037,-0.000528908105792,1.0,1.73697621706
2,30,False,1,0,1.73399115325,3.13174789421,-0.000537600949212,1.0,1.73399115325
3,40,False,1,0,1.73255689874,3.12693484024,-0.000481305396601,1.0,1.73255689874
4,50,False,1,0,1.73098959754,3.12201803996,-0.000491680028418,1.0,1.73098959754
5,60,False,1,0,1.72959597955,3.11698699191,-0.000503104805165,1.0,1.72959597955
6,70,False,1,0,1.72791298993,3.11199378535,-0.000499320655553,1.0,1.72791298993
7,80,False,1,0,1.72606190775,3.10702214201,-0.00049716433411,1.0,1.72606190775
8,90,False,1,0,1.72428278153,3.10202122833,-0.000500091368267,1.0,1.72428278153
9,100,False,1,0,1.72258076792,3.0972790089,-0.000474221942646,1.0,1.72258076792
10,110,False,1,0,1.7208331653,3.09270125295,-0.00045777559511,1.0,1.7208331653
11,120,False,1,0,1.72009025475,3.08809247072,-0.000460878223336,1.0,1.72009025475
12,130,False,1,0,1.71932507402,3.08354728015,-0.000454519057111,1.0,1.71932507402
13,140,False,1,0,1.71878388256,3.07896446675,-0.000458281339628,1.0,1.71878388256
14,150,False,1,0,1.71883593207,3.07439495,-0.000456951675187,1.0,1.71883593207
15,160,False,1,0,1.71911038299,3.06951910464,-0.000487584535529,1.0,1.71911038299
16,170,False,1,0,1.7194084066,3.0639875982,-0.000553150644341,1.0,1.7194084066
17,180,False,1,0,1.7197206872,3.05829202263,-0.00056955755735,1.0,1.7197206872
18,190,False,1,0,1.7201830464,3.05223035858,-0.000606166404486,1.0,1.7201830464
19,200,False,1,0,1.72010706259,3.04578739313,-0.000644296545279,1.0,1.72010706259
20,210,False,1,0,1.72030828802,3.03965036933,-0.000613702379467,1.0,1.72030828802
21,220,False,1,0,1.72033716522,3.03362226247,-0.000602810686539,1.0,1.72033716522
22,230,False,1,0,1.72002386095,3.02773437172,-0.00058878907474,1.0,1.72002386095
23,240,False,1,0,1.71990093272,3.02183959982,-0.00058947718973,1.0,1.71990093272
24,250,False,1,0,1.71977120352,3.01590430042,-0.000593529939873,1.0,1.71977120352
25,260,False,1,0,1.71961564214,3.00988316041,-0.000602114001609,1.0,1.71961564214
26,270,False,1,0,1.7192972075,3.00357773723,-0.00063054231734,1.0,1.7192972075
27,280,False,1,0,1.71902599546,2.99702588725,-0.000655184997999,1.0,1.71902599546
28,290,False,1,0,1.71872260234,2.99081188309,-0.000621400416129,1.0,1.71872260234
29,300,False,1,0,1.71810213267,2.9847606014,-0.000605128169442,1.0,1.71810213267
30,310,False,1,0,1.71707308331,2.97862217114,-0.000613843025745,1.0,1.71707308331
31,320,False,1,0,1.71636489211,2.97242930883,-0.000619286231074,1.0,1.71636489211
32,330,False,1,0,1.7156119372,2.96624514654,-0.000618416229202,1.0,1.7156119372
33,340,False,1,0,1.71488013369,2.96009671904,-0.000614842749695,1.0,1.71488013369
34,350,False,1,0,1.71421397226,2.95387622101,-0.000622049802756,1.0,1.71421397226
35,360,False,1,0,1.71317278496,2.94769394274,-0.000618227827155,1.0,1.71317278496
36,370,False,1,0,1.71281017712,2.94175922887,-0.000593471387699,1.0,1.71281017712
37,380,False,1,0,1.71254314685,2.93588411751,-0.00058751113568,1.0,1.71254314685
38,390,False,1,0,1.71228711585,2.92988191759,-0.000600219991898,1.0,1.71228711585
39,400,False,1,0,1.71195293206,2.92371899448,-0.000616292310642,1.0,1.71195293206
40,410,False,1,0,1.71164913584,2.917432255,-0.000628673948319,1.0,1.71164913584
41,420,False,1,0,1.71176957837,2.91094563095,-0.000648662405133,1.0,1.71176957837
42,430,False,1,0,1.71165265734,2.90474151872,-0.000620411222616,1.0,1.71165265734
43,440,False,1,0,1.71182760164,2.89832253987,-0.000641897885189,1.0,1.71182760164
44,450,False,1,0,1.71202569036,2.891878874,-0.000644366587026,1.0,1.71202569036
45,460,False,1,0,1.71217463095,2.88554746918,-0.000633140482004,1.0,1.71217463095
46,470,False,1,0,1.71237029775,2.87891766348,-0.000662980569912,1.0,1.71237029775
47,480,False,1,0,1.71255731934,2.87215933656,-0.000675832692175,1.0,1.71255731934
48,490,False,1,0,1.71244050641,2.86551410691,-0.000664522964952,1.0,1.71244050641
49,500,False,1,0,1.71206400356,2.85893340984,-0.000658069707066,1.0,1.71206400356
50,510,False,1,0,1.711828486,2.85244322756,-0.000649018227825,1.0,1.711828486
51,520,False,1,0,1.71146653718,2.84597125837,-0.000647196918984,1.0,1.71146653718
52,530,False,1,0,1.71113510405,2.8396444103,-0.000632684806933,1.0,1.71113510405
53,540,False,1,0,1.7112529704,2.83328706896,-0.00063573413412,1.0,1.7112529704
54,550,False,1,0,1.71099524637,2.82683768134,-0.000644938762107,1.0,1.71099524637
55,560,False,1,0,1.71112142669,2.82026056274,-0.000657711860198,1.0,1.71112142669
56,570,False,1,0,1.71069060676,2.8137303917,-0.00065301710427,1.0,1.71069060676
57,580,False,1,0,1.71091662558,2.80715202687,-0.000657836482537,1.0,1.71091662558
58,590,False,1,0,1.71042840591,2.80037730734,-0.000677471952969,1.0,1.71042840591
59,600,False,1,0,1.7101831138,2.79357387015,-0.0006803437186,1.0,1.7101831138
60,610,False,1,0,1.70931582514,2.7866923933,-0.000688147685287,1.0,1.70931582514
61,620,False,1,0,1.70847510657,2.77984149823,-0.000685089507255,1.0,1.70847510657
62,630,False,1,0,1.70736271572,2.77339326802,-0.000644823020846,1.0,1.70736271572
63,640,False,1,0,1.70649459472,2.76696511008,-0.000642815793821,1.0,1.70649459472
64,650,False,1,0,1.70534229696,2.76068203845,-0.000628307163019,1.0,1.70534229696
65,660,False,1,0,1.7046988003,2.75455596278,-0.000612607567379,1.0,1.7046988003
66,670,False,1,0,1.70403490731,2.74842319575,-0.00061327670238,1.0,1.70403490731
67,680,False,1,0,1.70316167238,2.74199508381,-0.000642811194443,1.0,1.70316167238
68,690,False,1,0,1.70266130093,2.73539284198,-0.000660224182615,1.0,1.70266130093
69,700,False,1,0,1.70240984931,2.72902485345,-0.000636798853655,1.0,1.70240984931
70,710,False,1,0,1.70220774821,2.72253121624,-0.000649363720313,1.0,1.70220774821
71,720,False,1,0,1.7019414684,2.71604069594,-0.000649052030083,1.0,1.7019414684
